seed;sparsity;method;teacher_f1;sparse_f1;pre_ft_f1;final_f1;final_acc;teacher_params;sparse_nonzero;compact_params;compression;convert_time;finetune_time;total_time;f1_recovery
42;0.5;neuron_removal;0.9583304396138621;0.9583322916406243;0.9599995555506172;0.9633317036312725;0.9633333333333334;33666;17026;27509;1.2238176596750154;0.00333404541015625;0.6776430606842041;0.6809771060943604;1.0052187260371543
42;0.5;svd_compression;0.9583304396138621;0.9583322916406243;0.5998888580161156;0.961648662844502;0.9616666666666667;33666;17026;33666;1.0;0.006604909896850586;0.10121822357177734;0.10782313346862793;1.0034625042610323
42;0.5;knowledge_distill;0.9583304396138621;0.9583322916406243;0.9649975692756442;0.9633317036312725;0.9633333333333334;33666;17026;4505;7.473029966703662;0.3622610569000244;0.14948105812072754;0.511742115020752;1.0052187260371543
42;0.5;weight_redistribution;0.9583304396138621;0.9583322916406243;0.3220839389534884;0.9583322916406243;0.9583333333333334;33666;17026;4317;7.798471160528145;0.0034189224243164062;0.0824272632598877;0.0858461856842041;1.0000019325555003
42;0.5;evomerge;0.9583304396138621;0.9583322916406243;0.9633317036312725;0.9583332175922711;0.9583333333333334;33666;17026;17534;1.9200410630774496;3.5908401012420654;0.12627387046813965;3.717113971710205;1.0000028987688319
42;0.7;neuron_removal;0.9583304396138621;0.95999599959996;0.9583304396138621;0.9633186607976524;0.9633333333333334;33666;10370;20251;1.6624364228926967;0.0006010532379150391;0.09497809410095215;0.09557914733886719;1.0052051160827158
42;0.7;svd_compression;0.9583304396138621;0.95999599959996;0.6331335949572545;0.963326813655761;0.9633333333333334;33666;10370;33666;1.0;0.0020749568939208984;0.10062217712402344;0.10269713401794434;1.0052136234386044
42;0.7;knowledge_distill;0.9583304396138621;0.95999599959996;0.9616614483638051;0.9666651851193386;0.9666666666666667;33666;10370;2805;12.002139037433155;0.3090627193450928;0.07440805435180664;0.3834707736968994;1.0086971520061856
42;0.7;weight_redistribution;0.9583304396138621;0.95999599959996;0.4962132585994061;0.9599888858016116;0.96;33666;10370;2657;12.670681219420398;0.0004611015319824219;0.07774686813354492;0.07820796966552734;1.0017305577692155
42;0.7;evomerge;0.9583304396138621;0.95999599959996;0.9599982221432064;0.9616665601848895;0.9616666666666667;33666;10370;17219;1.9551658052151693;3.457087993621826;0.09975314140319824;3.5568411350250244;1.0034811798030454
42;0.8;neuron_removal;0.9583304396138621;0.9583304396138621;0.9583304396138621;0.9566661851798354;0.9566666666666667;33666;7042;17302;1.9457866142642468;0.0006229877471923828;0.0967259407043457;0.09734892845153809;0.9982633814337596
42;0.8;svd_compression;0.9583304396138621;0.9583304396138621;0.6283075213556497;0.9599928876244666;0.96;33666;7042;33666;1.0;0.0021157264709472656;0.10125517845153809;0.10337090492248535;1.0017347335969775
42;0.8;knowledge_distill;0.9583304396138621;0.9583304396138621;0.9583332175922711;0.95999599959996;0.96;33666;7042;1945;17.30899742930591;0.29762697219848633;0.06936025619506836;0.3669872283935547;1.0017379808855587
42;0.8;weight_redistribution;0.9583304396138621;0.9583304396138621;0.3835546067877487;0.9649781113195748;0.965;33666;7042;1822;18.4774972557629;0.00043487548828125;0.06823015213012695;0.0686650276184082;1.006936721855972
42;0.8;evomerge;0.9583304396138621;0.9583304396138621;0.9583304396138621;0.9583322916406243;0.9583333333333334;33666;7042;17783;1.8931563853118147;3.49180006980896;0.10111165046691895;3.592911720275879;1.0000019325555003
42;0.9;neuron_removal;0.9583304396138621;0.7492908344024765;0.7532314923619272;0.9683311341065352;0.9683333333333334;33666;3714;8139;4.136380390711389;0.0005061626434326172;0.08980607986450195;0.09031224250793457;1.01043553880716
42;0.9;svd_compression;0.9583304396138621;0.7492908344024765;0.6737651390723999;0.9616580397256049;0.9616666666666667;33666;3714;33666;1.0;0.0019960403442382812;0.10214495658874512;0.1041409969329834;1.0034722888621628
42;0.9;knowledge_distill;0.9583304396138621;0.7492908344024765;0.9599982221432064;0.9599928876244666;0.96;33666;3714;1073;31.375582479030754;0.2966940402984619;0.06764101982116699;0.3643350601196289;1.0017347335969775
42;0.9;weight_redistribution;0.9583304396138621;0.7492908344024765;0.8019580419580419;0.9616665601848895;0.9616666666666667;33666;3714;982;34.283095723014256;0.0003650188446044922;0.06749105453491211;0.0678560733795166;1.0034811798030454
42;0.9;evomerge;0.9583304396138621;0.7492908344024765;0.64349376114082;0.9633333333333334;0.9633333333333334;33666;3714;16365;2.0571952337305226;3.298128843307495;0.09716296195983887;3.395291805267334;1.0052204266009614
42;0.95;neuron_removal;0.9583304396138621;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.5;33666;2050;4997;6.737242345407244;0.0004839897155761719;0.08293914794921875;0.08342313766479492;0.34782713723216657
42;0.95;svd_compression;0.9583304396138621;0.3333333333333333;0.3333333333333333;0.9699996666629629;0.97;33666;2050;33666;1.0;0.0017790794372558594;0.10089802742004395;0.1026771068572998;1.0121766215146026
42;0.95;knowledge_distill;0.9583304396138621;0.3333333333333333;0.9583332175922711;0.9616657083093744;0.9616666666666667;33666;2050;982;34.283095723014256;0.2941718101501465;0.06880426406860352;0.36297607421875;1.0034802908867804
42;0.95;weight_redistribution;0.9583304396138621;0.3333333333333333;0.2275194792165955;0.9633231453181439;0.9633333333333334;33666;2050;982;34.283095723014256;0.0003662109375;0.06786704063415527;0.06823325157165527;1.0052097955964892
42;0.95;evomerge;0.9583304396138621;0.3333333333333333;0.3333333333333333;0.9633186607976524;0.9633333333333334;33666;2050;17429;1.9316082391416605;3.3611690998077393;0.09718680381774902;3.4583559036254883;1.0052051160827158
123;0.5;neuron_removal;0.9566589615931721;0.95999599959996;0.95999599959996;0.9633231453181439;0.9633333333333334;33666;17026;25282;1.331619333913456;0.0005180835723876953;0.09798717498779297;0.09850525856018066;1.0069661018111131
123;0.5;svd_compression;0.9566589615931721;0.95999599959996;0.6293758914632914;0.961648662844502;0.9616666666666667;33666;17026;33666;1.0;0.0022449493408203125;0.10259580612182617;0.10484075546264648;1.0052157576018734
123;0.5;knowledge_distill;0.9566589615931721;0.95999599959996;0.9649952354626046;0.9666651851193386;0.9666666666666667;33666;17026;4505;7.473029966703662;0.3181729316711426;0.07477092742919922;0.3929438591003418;1.0104595513426256
