task,method,median_loss,mean_loss,std_loss,iqr_loss,median_rcu_hpo,median_rcu_total,n_seeds,rank,L_min,L_max,L_random,norm_regret,tier,is_author
L0/synth_classification/gb,CMA-ES,0.1266666666666667,0.12533333333333335,0.025298221281347046,0.011666666666666742,0.49645589963175085,839.2325962987826,10,9.0,0.11666666666666664,0.1266666666666667,0.1266666666666667,1.0,L0,False
L0/synth_classification/gb,DEHB,0.1266666666666667,0.12666666666666668,0.026480833972917762,0.010000000000000064,0.30045762116095914,796.1190594862611,10,9.0,0.11666666666666664,0.1266666666666667,0.1266666666666667,1.0,L0,False
L0/synth_classification/gb,GP-BO,0.12,0.122,0.02037912269886289,0.01333333333333342,77.86780776842154,757.3288876515792,10,3.0,0.11666666666666664,0.1266666666666667,0.1266666666666667,0.3333333333333333,L0,False
L0/synth_classification/gb,L-SHADE,0.1266666666666667,0.12666666666666665,0.018053418676968788,0.011666666666666659,0.46240684692354894,818.3673346451274,10,9.0,0.11666666666666664,0.1266666666666667,0.1266666666666667,1.0,L0,False
L0/synth_classification/gb,Random,0.1266666666666667,0.12600000000000003,0.02361209148291468,0.015000000000000013,0.20897111646670025,811.653761294283,10,9.0,0.11666666666666664,0.1266666666666667,0.1266666666666667,1.0,L0,False
L0/synth_classification/gb,SACMA-DAC,0.11666666666666664,0.11866666666666666,0.02326444858364872,0.01666666666666669,130.97530161762032,1152.7759674949675,10,1.0,0.11666666666666664,0.1266666666666667,0.1266666666666667,0.0,L0,True
L0/synth_classification/gb,SACMA-MAB,0.12333333333333335,0.12533333333333335,0.024302618870208563,0.01666666666666669,73.95597361869949,1009.2193851109143,10,5.5,0.11666666666666664,0.1266666666666667,0.1266666666666667,0.6666666666666666,L0,True
L0/synth_classification/gb,SMAC,0.12,0.12533333333333335,0.024705674861666305,0.011666666666666659,22.117931078651807,887.6658388706617,10,3.0,0.11666666666666664,0.1266666666666667,0.1266666666666667,0.3333333333333333,L0,False
L0/synth_classification/gb,Sigma-CMA,0.1266666666666667,0.12333333333333334,0.02634059909139931,0.03666666666666665,7.501590133402667,1010.7399936735297,10,9.0,0.11666666666666664,0.1266666666666667,0.1266666666666667,1.0,L0,True
L0/synth_classification/gb,TPE,0.12,0.11866666666666666,0.021727833887253918,0.01666666666666669,6.3255262131074295,1114.4850860282515,10,3.0,0.11666666666666664,0.1266666666666667,0.1266666666666667,0.3333333333333333,L0,False
L0/synth_classification/gb,WL-CMA,0.12333333333333335,0.12133333333333333,0.02450497555927151,0.023333333333333317,286.41496408029224,1182.1069909441808,10,5.5,0.11666666666666664,0.1266666666666667,0.1266666666666667,0.6666666666666666,L0,True
L0/synth_classification/hgb,CMA-ES,0.1333333333333333,0.13666666666666666,0.01756820922315767,0.016666666666666607,0.524807725372481,283.9241622417466,10,8.0,0.12333333333333335,0.1433333333333333,0.1433333333333333,0.4999999999999986,L0,False
L0/synth_classification/hgb,DEHB,0.1433333333333333,0.14066666666666666,0.025810324281305974,0.021666666666666612,0.4411590632716122,293.77511289655536,10,10.5,0.12333333333333335,0.1433333333333333,0.1433333333333333,1.0,L0,False
L0/synth_classification/hgb,GP-BO,0.1333333333333333,0.12866666666666665,0.025151393452303848,0.03666666666666668,208.00528666058352,568.0864320363347,10,8.0,0.12333333333333335,0.1433333333333333,0.1433333333333333,0.4999999999999986,L0,False
L0/synth_classification/hgb,L-SHADE,0.1333333333333333,0.13333333333333336,0.030631219449089364,0.013333333333333308,0.4734880962998639,269.9764853983433,10,8.0,0.12333333333333335,0.1433333333333333,0.1433333333333333,0.4999999999999986,L0,False
L0/synth_classification/hgb,Random,0.1433333333333333,0.13999999999999999,0.02266230894930126,0.019999999999999907,0.24499217669511428,258.65500220403146,10,10.5,0.12333333333333335,0.1433333333333333,0.1433333333333333,1.0,L0,False
L0/synth_classification/hgb,SACMA-DAC,0.12333333333333335,0.12666666666666665,0.027216552697590865,0.02333333333333329,128.22443703404633,651.2829450655154,10,1.5,0.12333333333333335,0.1433333333333333,0.1433333333333333,0.0,L0,True
