method,avg_rank,avg_loss,avg_rcu,avg_iqr,avg_norm_regret,n_wins,n_top3,n_tasks
TPE,2.75,0.05880916195155805,20.69707204331822,0.0013507079875125783,0.059616632545928805,2,2,4
Sigma-CMA,3.25,0.0607245169712769,42.55294469509315,0.004491378342891039,0.114562558646315,0,3,4
WL-CMA,3.5,0.0616002492415646,1227.383912872151,0.010063367040402227,0.13622013625046633,1,2,4
SMAC,4.0,0.061211842206830624,60.21125815396269,0.004475556997249441,0.25311793445264774,0,2,4
SACMA-MAB,4.5,0.06310565891817532,245.29116703760747,0.008591984089889593,0.401598790128094,1,2,4
SACMA-DAC,5.25,0.06293098567130073,414.6341288712807,0.009300710355773845,0.3304677877478087,0,0,4
