method,avg_rank,avg_loss,avg_rcu,avg_iqr,avg_norm_regret,n_wins,n_top3,n_tasks
GP-BO,2.1,0.14631742490455507,1424.5570772228584,0.035289476392790675,0.12014474643185871,8,8,10
SACMA-MAB,2.5,0.14658968346193432,212.89084509083932,0.056525511434301734,0.14431345346560204,1,9,10
SACMA-DAC,2.8,0.15236592320725323,928.2632262377256,0.040053941588848826,0.14823463186727442,1,8,10
WL-CMA,4.9,0.18568067606538535,1444.31859842754,0.04352308865636587,0.3353323579661663,0,1,10
Sigma-CMA,5.0,0.19462240114808083,49.530185239666636,0.06352316224947571,0.3846078305834208,0,2,10
SMAC,5.5,0.19909549802541732,66.72161206594815,0.0414147580973804,0.4169171544515655,0,1,10
