task,method,aucc
L4/residual__fashion_mini/l4,SACMA-DAC,0.9570190331516396
L4/residual__fashion_mini/l4,SACMA-MAB,0.952372442141006
L4/residual__fashion_mini/l4,SMAC,0.9359753373246358
L4/residual__fashion_mini/l4,Sigma-CMA,0.9084532213385755
L4/residual__fashion_mini/l4,TPE,0.921454740416406
L4/residual__fashion_mini/l4,WL-CMA,0.9383433115896702
L4/sequential__digits/l4,CMA-ES,0.9928708133971293
L4/sequential__digits/l4,DEHB,0.9847368421052631
L4/sequential__digits/l4,GP-BO,0.9908133971291866
L4/sequential__digits/l4,L-SHADE,0.9908612440191388
L4/sequential__digits/l4,Random,0.9863636363636364
L4/sequential__digits/l4,SACMA-DAC,0.9904784688995216
L4/sequential__digits/l4,SACMA-MAB,0.990909090909091
L4/sequential__digits/l4,SMAC,0.9901435406698564
L4/sequential__digits/l4,Sigma-CMA,0.9842583732057417
L4/sequential__digits/l4,TPE,0.9927751196172248
L4/sequential__digits/l4,WL-CMA,0.9886602870813397
L5_FCNET/fcnet_naval/fcnet,CMA-ES,0.9995148513158274
L5_FCNET/fcnet_naval/fcnet,DEHB,0.9961285920524663
L5_FCNET/fcnet_naval/fcnet,GP-BO,0.9989435255598812
L5_FCNET/fcnet_naval/fcnet,L-SHADE,0.9989048816822368
L5_FCNET/fcnet_naval/fcnet,Random,0.9959923782657787
L5_FCNET/fcnet_naval/fcnet,SACMA-DAC,0.999091385288052
L5_FCNET/fcnet_naval/fcnet,SACMA-MAB,0.9991140301907564
L5_FCNET/fcnet_naval/fcnet,SMAC,0.9990476626146471
L5_FCNET/fcnet_naval/fcnet,Sigma-CMA,0.9996793863740155
L5_FCNET/fcnet_naval/fcnet,TPE,0.9987988017488278
L5_FCNET/fcnet_naval/fcnet,WL-CMA,0.9987059068512332
L5_FCNET/fcnet_parkinsons/fcnet,CMA-ES,0.9946832529339422
L5_FCNET/fcnet_parkinsons/fcnet,DEHB,0.9929513295459089
L5_FCNET/fcnet_parkinsons/fcnet,GP-BO,0.9931208850344018
L5_FCNET/fcnet_parkinsons/fcnet,L-SHADE,0.9920098142641748
L5_FCNET/fcnet_parkinsons/fcnet,Random,0.9924299295111079
L5_FCNET/fcnet_parkinsons/fcnet,SACMA-DAC,0.9955219483931573
L5_FCNET/fcnet_parkinsons/fcnet,SACMA-MAB,0.9949726227855658
L5_FCNET/fcnet_parkinsons/fcnet,SMAC,0.9949341713564854
L5_FCNET/fcnet_parkinsons/fcnet,Sigma-CMA,0.9946702635269227
L5_FCNET/fcnet_parkinsons/fcnet,TPE,0.9942509845637029
L5_FCNET/fcnet_parkinsons/fcnet,WL-CMA,0.9937099353178808
L5_FCNET/fcnet_protein/fcnet,CMA-ES,0.950631238862651
L5_FCNET/fcnet_protein/fcnet,DEHB,0.9263131762812173
L5_FCNET/fcnet_protein/fcnet,GP-BO,0.9396173146804593
L5_FCNET/fcnet_protein/fcnet,L-SHADE,0.9214936931264962
L5_FCNET/fcnet_protein/fcnet,Random,0.9152536157772031
L5_FCNET/fcnet_protein/fcnet,SACMA-DAC,0.9480338343148373
L5_FCNET/fcnet_protein/fcnet,SACMA-MAB,0.9461876550968263
L5_FCNET/fcnet_protein/fcnet,SMAC,0.9462186632681537
L5_FCNET/fcnet_protein/fcnet,Sigma-CMA,0.9576742388487642
L5_FCNET/fcnet_protein/fcnet,TPE,0.9597322886397224
L5_FCNET/fcnet_protein/fcnet,WL-CMA,0.9599271824309297
L5_FCNET/fcnet_slice/fcnet,CMA-ES,0.999990751707168
L5_FCNET/fcnet_slice/fcnet,DEHB,0.9999814647354988
L5_FCNET/fcnet_slice/fcnet,GP-BO,0.9999865138074626
L5_FCNET/fcnet_slice/fcnet,L-SHADE,0.9999878797614009
L5_FCNET/fcnet_slice/fcnet,Random,0.9999827145051681
L5_FCNET/fcnet_slice/fcnet,SACMA-DAC,0.9999874083736929
L5_FCNET/fcnet_slice/fcnet,SACMA-MAB,0.9999860043330513
L5_FCNET/fcnet_slice/fcnet,SMAC,0.9999872917093002
L5_FCNET/fcnet_slice/fcnet,Sigma-CMA,0.9999964297186286
L5_FCNET/fcnet_slice/fcnet,TPE,0.9999947761018539
L5_FCNET/fcnet_slice/fcnet,WL-CMA,0.9999899140720117
