method,avg_rank,avg_loss,avg_rcu,avg_iqr,avg_norm_regret,n_wins,n_top3,n_tasks
SACMA-DAC,2.0,0.09129116006195545,497.904187317289,0.006670529544353487,0.17866282213011436,1,2,2
WL-CMA,3.0,0.09175858110189436,2408.7558382762327,0.0038998313993215544,0.2957499209970134,0,1,2
CMA-ES,4.0,0.09236178413033486,26.60915930934138,0.002584795206785201,0.3672399320100064,1,1,2
SMAC,4.0,0.09248948559165002,87.70820769354724,0.004122429117560417,0.40955237805508926,0,1,2
Sigma-CMA,4.0,0.0921801072359085,66.59767566292038,0.004581720754504179,0.39175497148904037,0,1,2
TPE,5.5,0.09314372941851615,72.48663287509738,0.002625141814351084,0.6522922211857892,0,0,2
