method,avg_rank,avg_loss,avg_rcu,avg_iqr,avg_norm_regret,n_wins,n_top3,n_tasks
WL-CMA,3.4444444444444446,1.1729975070380634,740.0164814615794,0.04542544145318214,0.20934410049066143,1,5,9
L-SHADE,4.055555555555555,1.173247362176681,90.90069760395998,0.014461894732318304,0.21676085849655358,2,5,9
Sigma-CMA,4.555555555555555,1.190639520042509,113.98449894806625,0.04916182029229957,0.38352823841110695,1,4,9
SACMA-DAC,4.666666666666667,1.1863903215403722,595.9219366743989,0.047232806694042145,0.3370794801434145,2,3,9
TPE,4.888888888888889,1.1850807625065118,95.4005110177472,0.03398238931121472,0.3652930594944964,0,2,9
SACMA-MAB,5.111111111111111,1.1882162816722475,286.1700025475598,0.049701897360514925,0.3692500588450549,2,2,9
