method,avg_rank,avg_loss,avg_rcu,avg_iqr,avg_norm_regret,n_wins,n_top3,n_tasks
SACMA-DAC,3.533333333333333,11.90618637868918,729.6778329458994,0.9072289400429396,0.26477302934363556,3,9,15
SACMA-MAB,3.6666666666666665,11.841384405462602,638.9561133588395,0.8276459817725653,0.3619647760790072,2,8,15
Sigma-CMA,4.333333333333333,11.68147380896203,577.5985742308991,0.8720643273279062,0.37771279873727165,1,8,15
WL-CMA,5.133333333333334,11.804030594358922,831.4459579728326,1.160423444365258,0.47932040869668274,1,4,15
TPE,5.233333333333333,11.726462940921847,614.104959430671,0.8898876445985578,0.5879023512543481,1,5,15
SMAC,5.466666666666667,12.054237134567675,642.0682447526559,0.7870456969370802,0.4662055142331525,1,4,15
