method,avg_rank,avg_loss,avg_rcu,avg_iqr,avg_norm_regret,n_wins,n_top3,n_tasks
GP-BO,2.8333333333333335,0.10391666666666666,8705.41135577003,0.01566666666666665,0.4349816849816827,0,2,3
SACMA-DAC,3.5,0.10349999999999998,8861.551865179981,0.016083333333333328,0.3492063492063489,1,2,3
SACMA-MAB,3.6666666666666665,0.10216666666666667,7645.2894456245,0.01566666666666665,0.4358974358974322,1,1,3
TPE,3.8333333333333335,0.10791666666666666,7845.5680323822735,0.01837500000000002,0.5201465201465199,0,1,3
L-SHADE,4.833333333333333,0.11016666666666665,7208.006678668916,0.02295833333333337,0.7405372405372371,0,0,3
SMAC,6.666666666666667,0.11166666666666665,7552.942656683437,0.01829166666666669,0.8647741147741131,0,1,3
